,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
AL,28.662739273750724,6.755635120441584,15.0,59.0,0.0015552099533437014,0.03497858175766009,0.0961228888706993,0.13388447791329022,0.13789528252980818,0.1349212845488527,0.11860522223131702,0.09565905432321083,0.07347684919920329,0.05263157894736842,0.03833456113066492,0.0277482196938692,0.019781179231126027,0.014433439742435404,0.009276690949769448,0.005293170718397861,0.0027284385146380727,0.0017734850345147472,0.0007366783989522796,0.00016370631087828436
AK,28.209137956477328,6.519198808915973,16.0,55.0,0.011517741036596692,0.048671744380456995,0.10403120936280884,0.11666357049972134,0.12985324168679174,0.12279398105145829,0.11369125023221252,0.08824075794166822,0.07059260635333457,0.055916775032509754,0.035296303176667286,0.03418168307635148,0.02099201188928107,0.019134311722088054,0.013003901170351105,0.0066877206018948546,0.004830020434701839,0.0020434701839123167,0.0013003901170351106,0.0005573100501579045
AZ,28.45492244046563,6.4475568279843,16.0,59.0,0.010348625246847942,0.05876879842017317,0.11324624031596536,0.1372474555673705,0.1354055901564636,0.13005088865259,0.11079674920249126,0.09066914780495215,0.06617423667021115,0.0466162843688288,0.03520431414248823,0.025387361385386602,0.01718441440072915,0.011506911742366703,0.006550964605802826,0.003000151906425642,0.0012722163147501138,0.0003797660641045116,0.00013291812243657907,5.6964909615676745e-05
AR,28.46525941059784,6.569020413659334,16.0,59.0,0.01154672395273899,0.06015037593984962,0.11023093447905478,0.13694951664876476,0.141156462585034,0.13019155030433227,0.11179735051915503,0.08270676691729323,0.06547619047619048,0.04703723594701038,0.03513247404224848,0.02309344790547798,0.01933404940923738,0.011412459720730397,0.006489437880415324,0.003669889008234873,0.0015664160401002505,0.0012531328320802004,0.0006265664160401002,0.00017901897601145723
CA,28.535946017513776,6.479864689224897,15.0,59.0,0.001956476121116364,0.03362423314776641,0.09404354856627949,0.13189549825336674,0.14288756125560095,0.13703973436362066,0.12107007517312036,0.09764173651142409,0.07401898460740869,0.052383568069322206,0.038345697604088236,0.028464567415106216,0.020073938750570897,0.013349709305913865,0.007403132830533371,0.003551899077925765,0.0014750719020404132,0.0005924975004011701,0.00014503845061903645,3.7031093775073134e-05
CO,28.354351602203117,6.414971439976088,16.0,57.0,0.009157644054896762,0.05548599346934767,0.10257543394466132,0.1295573396184724,0.1340747833345609,0.12560457636689498,0.11222410449043727,0.09098720875991259,0.06918563256487688,0.05207335935773735,0.03977314576121382,0.028332228523728856,0.02077042056418944,0.012815791411946675,0.009550465247600108,0.004541995040632442,0.0020623112616925685,0.0007365397363187744,0.00039282119270334635,9.820529817583659e-05
CT,28.569470782556692,6.513121618073713,16.0,58.0,0.009797426867961367,0.05379868205432168,0.10648164289948049,0.12715735155677976,0.13733830759039084,0.1279941424636519,0.11282730727659426,0.0911753425612775,0.06872145322687494,0.050381785851260415,0.03821345141382797,0.02573132038631847,0.0205362435061539,0.01429517799239915,0.008158711342003418,0.003835291656497333,0.00226630870611206,0.0008367909068721453,0.00034866287786339387,0.00010459886335901817
DE,28.70597062369615,6.721796292234398,16.0,59.0,0.010520329826556724,0.05587148137617287,0.10733579755473414,0.1393232868922377,0.1391811202729599,0.12112595962468012,0.11657662780779073,0.08330963889678704,0.06497014500995166,0.049189650270116576,0.03611032129655957,0.025305658231447255,0.021182826272391243,0.012368495877168042,0.00838783053738982,0.005402331532556156,0.0017059994313335229,0.0011373329542223485,0.0005686664771111743,0.0004264998578333807
DC,29.06034977954549,7.177776461306515,16.0,59.0,0.01093210586881473,0.06290755657844266,0.10030686612965094,0.12869198312236288,0.13540467970847717,0.12734944380514002,0.10433448408131953,0.09071729957805907,0.06348293057153817,0.04602991944764097,0.03682393555811277,0.027234369006520907,0.020713463751438434,0.015535097813578827,0.012658227848101266,0.008247027234369007,0.0038358266206367474,0.0030686612965093976,0.0011507479861910242,0.0005753739930955121
FL,28.659571826511566,6.539754602748455,16.0,59.0,0.008839670073280537,0.055739213302224706,0.11009168282343662,0.13235187801912524,0.1371167559396668,0.13022904275245636,0.11325293286451316,0.08942197101639775,0.06788472281554993,0.049567874864447435,0.035595281127797314,0.025546317899510368,0.01827084223324899,0.012421543820446256,0.006900857678025698,0.0036344517104268674,0.0018533732049554731,0.0008281029213630837,0.00038119023364332425,7.229469948407874e-05
GA,28.830397450097216,6.800514680877779,16.0,59.0,0.009922748169819206,0.05762204575789034,0.10935245978995052,0.12922492011918082,0.1322314049586777,0.12937322206193627,0.11148261496771063,0.08966874738786351,0.06685721219311609,0.04879133916654308,0.036913701751311125,0.026613457727205317,0.01910398662586116,0.013522440780337859,0.008668922653795855,0.0050153020640934035,0.003195232766640152,0.001469537432758551,0.0007280277189813005,0.00024267590632710015
