,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
AL,77.41732995451284,14.636440916488924,47.0,132.0,0.004229079697689013,0.020490573244931927,0.04297290660554964,0.08518185042700063,0.12629941884259638,0.15069165916346075,0.15475703255027148,0.10638181768573846,0.07325857411803224,0.05298627595427137,0.03566069138631961,0.03317781233799896,0.030503942593653653,0.02736623830181987,0.022646039671496004,0.01467899920875283,0.009358544105208588,0.0038470983056396826,0.0033559793730048295,0.0021554664265640774
AK,77.41656558913189,14.582990651160104,48.0,132.0,0.008173880735649267,0.0245216422069478,0.041055173694965634,0.0988296488946684,0.13041055173694965,0.1482444733420026,0.15381757384358163,0.10143042912873862,0.06910644621958016,0.04607096414638677,0.03548207319338659,0.03065205275868475,0.032323982909158465,0.029537432658368938,0.019134311722088054,0.011703511053315995,0.008359650752368568,0.0040869403678246334,0.004830020434701839,0.002229240200631618
AZ,77.20854118698603,14.66271894706439,47.0,132.0,0.005316724897463163,0.02149475922831536,0.04464150083548534,0.08789685553698921,0.12955719276925415,0.15063420932705454,0.14917210998025215,0.10542305939541242,0.0725922831535774,0.048818927540634965,0.037236062585447365,0.03360929667324928,0.030780039495670666,0.02882424426553243,0.023146741607169983,0.013291812243657906,0.008905514203250798,0.003493847789761507,0.00309509342245177,0.0020697250493695884
AR,77.45175561199974,14.783711480999193,47.0,132.0,0.00550483351235231,0.019736842105263157,0.042606516290726815,0.08668993913354815,0.1271482277121375,0.15216612960973863,0.147422126745435,0.10960436806301468,0.07353204439670605,0.048916935195130684,0.03678839957035446,0.03455066237021124,0.029269602577873255,0.02837450769781597,0.024480844969566776,0.01342642320085929,0.009085213032581453,0.00447547440028643,0.003490870032223416,0.0027300393841747225
CA,77.11422776806602,14.713398888078782,47.0,132.0,0.005443570784935751,0.022808067840963796,0.04456383543381926,0.08781923888758594,0.12735610334143904,0.15395677236986657,0.14971979805710195,0.10743646081493094,0.07295434066137534,0.04936244800217249,0.03479071260168121,0.03172947551627517,0.029263821855751545,0.0267580511769716,0.022468616148025627,0.014408181402984705,0.009384296347499784,0.004233888388283362,0.003187759989137546,0.0023545603791984004
CO,77.4192883856715,14.664415705276104,47.0,132.0,0.0053767400751270535,0.02050035599420589,0.04244924013650536,0.08325354152856547,0.12670938597137316,0.15135891581350813,0.15253737939161818,0.10687191573985416,0.07930077827698805,0.04944636763153372,0.03370896859885591,0.03361076330068007,0.03049274508359726,0.0281849205764651,0.023495617588568902,0.014018806314600672,0.009157644054896762,0.004222827821560973,0.002847953647099261,0.0024551324543959146
CT,77.60256061844514,14.717068838548299,47.0,132.0,0.004358285973292423,0.01931592343363202,0.04218820822147066,0.0823193054635473,0.12635542693769394,0.15309786966981626,0.14971583975454134,0.11080506258498658,0.07440465813604825,0.048359541159652734,0.037725323384819216,0.03392489801610823,0.030438269237474287,0.02897388515044803,0.02440640145043757,0.015341166625989331,0.00850737421986681,0.004183954534360727,0.0032425647641295633,0.002336041281684739
DE,77.41030338963677,14.503824514720579,47.0,132.0,0.002985499004833665,0.01634916121694626,0.04321865226044925,0.08928063690645437,0.12766562411145863,0.1506966164344612,0.15510378163207278,0.10420813193062269,0.07691214102928633,0.05274381575206141,0.03611032129655957,0.03355132214955928,0.02914415695194768,0.026158657947114018,0.02502132499289167,0.012937162354279216,0.008103497298834235,0.004407165197611601,0.0025589991470002845,0.0028433323855558716
DC,76.50255413618729,14.603965487358645,48.0,132.0,0.010740314537782892,0.03164556962025317,0.05753739930955121,0.10299194476409666,0.12715765247410818,0.15381664748753357,0.13789796701189105,0.09973149213655542,0.06367472190257001,0.0492903720751822,0.030878404296125816,0.03317990026850786,0.02608362102032988,0.026467203682393557,0.02243958573072497,0.011891062523973917,0.006329113924050633,0.003260452627541235,0.002493287303413886,0.002493287303413886
FL,77.57858181374507,14.746745350908052,47.0,132.0,0.004225953797114784,0.01924353455358023,0.04212152081758733,0.08462423186881798,0.12817192993986395,0.15284413920015774,0.14903880910913214,0.10677927113798429,0.0737077322467221,0.04973875324504617,0.03698859715421774,0.03430054878249154,0.03119187670467615,0.02933850349972068,0.024422463934803327,0.014478656633038678,0.00882652558246525,0.004271959514968289,0.003325556176267622,0.0023594361013440242
