,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
AL,54.31541956436472,17.55643046587655,14.0,150.0,0.002210035196856839,0.01620692477695015,0.05331368857602794,0.13516684401517012,0.19371913453930314,0.1923821996671305,0.14739024856074867,0.09868762107445908,0.06630105590570516,0.03489672860222095,0.017543859649122806,0.008867425172573737,0.007830618537011268,0.006548252435131375,0.005511445799568907,0.004447354778860059,0.004556492319445582,0.002701154129491692,0.000982237865269706,0.0007366783989522796
AK,53.85290130394584,17.59501523585049,14.0,149.0,0.002229240200631618,0.021735091956158276,0.0494148244473342,0.136169422255248,0.19375812743823148,0.19004272710384543,0.14954486345903772,0.10180196916217722,0.06724874605238715,0.03158090284228125,0.01356121122050901,0.008173880735649267,0.007802340702210663,0.006501950585175552,0.006501950585175552,0.004272710384543935,0.004458480401263236,0.0031580902842281255,0.001114620100315809,0.0009288500835965075
AZ,54.17035397448109,17.548225211778114,14.0,150.0,0.001993771836548686,0.018912349992404678,0.05149627829257178,0.13758924502506456,0.1907564939996962,0.19331991493240164,0.14974175907640894,0.10265076712744949,0.06306015494455415,0.031349688591827435,0.01680464833662464,0.008126993771836549,0.007595321282090233,0.00717757861157527,0.0057154792647729,0.00506987695579523,0.004101473492328725,0.0028482454807838373,0.0011582864955187605,0.0005316724897463163
AR,54.27675595372826,17.586283621708564,14.0,149.0,0.0021034729681346223,0.017409595417114215,0.05070712495524526,0.1335481561045471,0.19155030433225922,0.1906999641962048,0.1461689939133548,0.10145900465449338,0.0680719656283566,0.03804153240243466,0.017633369137128537,0.00872717508055854,0.007339778016469746,0.006936985320443967,0.005460078768349445,0.005146795560329395,0.004430719656283566,0.0025957751521661298,0.0012083780880773362,0.0007608306480486932
CA,54.059152440292465,17.547160810226572,14.0,150.0,0.0025242862256674853,0.01880562378877464,0.05222618592077815,0.13869996173453644,0.19157419179637836,0.19319738807351908,0.1500407342031526,0.09888227815288904,0.0644803920358461,0.032534901805883004,0.015093256637823559,0.008082036216409712,0.00710379815585153,0.0072519225309518225,0.005742905459617593,0.005150407959216422,0.0042986928023897395,0.0026014343376988876,0.0011109328132521941,0.0005986693493636823
CO,54.0554624450292,17.460479058355485,14.0,150.0,0.00201320861260465,0.01868355797795291,0.05285900174314404,0.13729100684981954,0.19258058972281555,0.19235962780191992,0.15003314428813436,0.10102870049839188,0.06609216567233803,0.030320885811789548,0.015172718568166753,0.008151039748594437,0.007218089415923989,0.006874370872308561,0.005818663916918318,0.0053767400751270535,0.0037563526552257492,0.002504235103483833,0.0013012202008298348,0.0005646804645110604
CT,54.493891362391615,17.647330377866332,14.0,149.0,0.001534116662598933,0.016631219274083887,0.04944039608102925,0.13193403298350825,0.1917297165370803,0.1909277919179945,0.1449740246155992,0.10491265994909522,0.07067396534290994,0.034587357484048675,0.017537742756528713,0.009379031414525296,0.00742651929849029,0.007740315888567344,0.006031867787036714,0.004985879153446533,0.0049161465778738535,0.0028590355984798297,0.001255186360308218,0.0005229943167950909
DE,54.12672326567623,17.54437528742085,14.0,146.0,0.002416832527722491,0.01620699459766847,0.045493318168893945,0.12595962468012512,0.18765993744668752,0.19107193630935457,0.1421666192777936,0.11757179414273529,0.06553881148706284,0.039664486778504406,0.020898493033835654,0.010093829968723343,0.007676997441000853,0.005686664771111743,0.006255331248222917,0.0038384987205004263,0.005260164913278362,0.003269832243389252,0.002416832527722491,0.0008529997156667614
DC,53.740206139256685,17.15221073504625,14.0,148.0,0.0034522439585730723,0.020521672420406596,0.04756425009589567,0.13444572305331798,0.18718833908707327,0.19351745301112389,0.14039125431530494,0.1114307633294975,0.07057920981971615,0.03931722286152666,0.014192558496355964,0.008438818565400843,0.0055619485999232835,0.0034522439585730723,0.004986574606827772,0.006137322593018795,0.0055619485999232835,0.0013425393172228615,0.0009589566551591868,0.0009589566551591868
FL,54.32476477371802,17.54921924504654,14.0,150.0,0.002129407512076501,0.017929085472051527,0.05211790608261312,0.1339292169169597,0.19211330551082778,0.19279024678781506,0.14819098945154613,0.10082481679865926,0.06667542966054353,0.03374848016824948,0.016916959679274424,0.00864250271105123,0.007991850415694522,0.007262331175446091,0.005803292694949229,0.004725444448095692,0.0039433472445861125,0.002569747954388617,0.0010778482468535376,0.000617791068318491
