,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
AL,73.53719686784811,15.345980951772288,36.0,224.0,0.011923276308968377,0.04395514447081935,0.1971842514528935,0.3025019781179231,0.25063436195465333,0.12621756568715725,0.03047665820850727,0.01538839322255873,0.010613625821942103,0.0039016670759324436,0.0011732285612943711,0.0012005129464407519,0.0011186597910016098,0.0009549534801233255,0.00046383454748847235,0.00035469700690294947,0.0004092657771957109,0.0005184033177812338,0.00046383454748847235,0.0005456877029276145
AK,73.89840492340626,15.165391507492023,40.0,206.0,0.01857700167193015,0.04792866431357979,0.19728775775589819,0.27066691436002227,0.2329556009660041,0.1344974921047743,0.05313022478172023,0.015604681404421327,0.010960430986438788,0.007988110718929966,0.0024150102173509194,0.001114620100315809,0.001114620100315809,0.0016719301504737136,0.0013003901170351106,0.000371540033438603,0.001114620100315809,0.0,0.0005573100501579045,0.000743080066877206
AZ,73.6544327956961,15.39890463503089,36.0,224.0,0.011279052103903996,0.04185022026431718,0.1983328269785812,0.3006797812547471,0.25434832143399666,0.1253038128512836,0.03142564180464834,0.014715934984049826,0.010557496582105422,0.0036457542154033117,0.0012722163147501138,0.0012722163147501138,0.0010633449794926325,0.0012342397083396628,0.0007595321282090232,0.0005126841865410906,0.0004367309737201884,0.000360777760899286,0.0005316724897463163,0.0004177426705149628
AR,73.46315611947746,15.27849073297982,36.0,224.0,0.011412459720730397,0.044128177586824205,0.20269423558897243,0.3022735409953455,0.24583780880773362,0.1257608306480487,0.030522735409953455,0.015440386680988185,0.011099176512710347,0.0038936627282491944,0.001163623344074472,0.0008950948800572861,0.001029359112065879,0.001029359112065879,0.0008950948800572861,0.0003132832080200501,0.0003132832080200501,0.0005370569280343716,0.0002685284640171858,0.0004923021840315074
CA,73.7933519668304,15.538084796346325,36.0,224.0,0.01201041808104872,0.04139767691605051,0.19341648871168826,0.3031704788120425,0.2532957673459815,0.12757828990408945,0.03109994692209892,0.01525063878636762,0.010205152259513905,0.004419043857158728,0.001243627565946206,0.001336205300383889,0.0012590571883524867,0.0012528853393899745,0.0007961685161640724,0.00044745904978213375,0.00043511535185710934,0.00044437312530087766,0.0004690605211509264,0.00047214644563218247
CO,73.57970323503187,15.054563807840472,36.0,224.0,0.011735533132012472,0.041467187154746996,0.1971716874125359,0.3007782769880435,0.2568314060543566,0.12560457636689498,0.03078736097812477,0.015442783138150304,0.009845081142127617,0.003707250006137831,0.0010802582799342025,0.0009083990081264885,0.0009575016572144067,0.0009329503326704476,0.0007365397363187744,0.0004419238417912646,0.00039282119270334635,0.00029461589452750976,0.0004664751663352238,0.0004173725172473055
CT,73.53877085563867,15.437425815326314,36.0,224.0,0.012098601861859768,0.04295526655277013,0.19957463128900665,0.3022558488197762,0.25135106865172063,0.12443778110944528,0.030682333251978663,0.014574108294689865,0.010425020048115477,0.004044489383215369,0.0010111223458038423,0.0010459886335901817,0.001359785223667236,0.0014643840870262543,0.000627593180154109,0.00034866287786339387,0.00034866287786339387,0.00038352916564973326,0.00038352916564973326,0.000627593180154109
DE,73.75767654716469,15.541641233253136,36.0,218.0,0.010235996588001138,0.03639465453511515,0.17173727608757464,0.30864373045208987,0.2435314188228604,0.14259311913562694,0.043645152118282626,0.014500995166334945,0.013647995450668183,0.006255331248222917,0.0014216661927779358,0.0011373329542223485,0.0017059994313335229,0.0008529997156667614,0.0005686664771111743,0.0007108330963889679,0.0011373329542223485,0.0005686664771111743,0.0004264998578333807,0.0002843332385555871
DC,74.35670062346729,16.56373860706985,38.0,224.0,0.019562715765247412,0.051975450709627925,0.20675105485232068,0.3039892596854622,0.2443421557345608,0.11181434599156118,0.023206751054852322,0.01304181051016494,0.010356731875719217,0.0034522439585730723,0.002109704641350211,0.002109704641350211,0.0015343306482546988,0.0013425393172228615,0.0009589566551591868,0.0005753739930955121,0.0005753739930955121,0.0005753739930955121,0.0005753739930955121,0.0011507479861910242
FL,73.40400990372832,15.163574144051033,36.0,224.0,0.01220465972199402,0.043212513555256155,0.20174821727843317,0.3023955834510861,0.25042883901284874,0.12207288620157077,0.031014426078669777,0.015365909763070553,0.010785054713943018,0.004285104005783576,0.0009726923203312412,0.0010252702835923894,0.0008872531300318754,0.0010515592652229635,0.0005126351417961947,0.0005060628963885511,0.00038119023364332425,0.0003877624790509678,0.00042719595149682887,0.0003351845157898196
