,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
AL,169.84079673387265,9.652574133113843,145.0,195.0,0.00016370631087828436,0.002373741507735123,0.016643474939292243,0.03800714850890835,0.05372295435322365,0.06725600938582849,0.07175793293498131,0.08665520722490519,0.08842869225941993,0.09784180513492129,0.08509999727156149,0.08188043982428855,0.07686011295735451,0.06264494829609014,0.05500532045510354,0.04736569261411694,0.033859921966658484,0.020763417096395734,0.011541294916919046,0.0021281820414176967
AK,170.41562836765033,9.689117896363165,146.0,194.0,0.0005573100501579045,0.007059260635333457,0.01727661155489504,0.03622515326026379,0.04830020434701839,0.06371911573472042,0.07040683633661526,0.0746795467211592,0.07932379713914174,0.09975849897826491,0.08954114805870332,0.08359650752368568,0.07207876648708898,0.05963217536689578,0.05647408508266766,0.055916775032509754,0.03399591305963218,0.026565112390860113,0.01857700167193015,0.006316180568456251
AZ,168.69867626065763,9.733540926341176,144.0,195.0,0.0018418654109068813,0.0037027191250189884,0.021969466808445998,0.03643855385082789,0.05202795078231809,0.06847182135804344,0.08556129424274647,0.0884095397235303,0.0924920249126538,0.09632766216010938,0.08561825915236214,0.08185857511772748,0.0750417742670515,0.05920552939389336,0.052236822117575576,0.0399324016405894,0.029678717909767584,0.01860853714112107,0.009057420628892603,0.0015190642564180464
AR,169.7551604945516,9.633565472534219,145.0,194.0,4.475474400286431e-05,0.00322234156820623,0.01727533118510562,0.034058360186179734,0.045694593626924455,0.06749015395631937,0.07344253490870033,0.08865914786967419,0.08051378446115288,0.09725205871822414,0.08624239169351951,0.08167740780522735,0.0777389903329753,0.057733619763694954,0.059658073755818115,0.05084138918725385,0.03575904045828858,0.022422126745435016,0.014992839240959541,0.005281059792337988
CA,168.33408357278822,9.741465633425067,144.0,195.0,0.0021694049103230346,0.004419043857158728,0.024042437633466234,0.04133904435090664,0.0532908298668115,0.06910619283324898,0.08768037228592943,0.08809388616641774,0.09491377926999371,0.09512362213471912,0.0863318232876205,0.08346191352005233,0.07298211398170663,0.05468875365682051,0.04904768370508437,0.03867589152358263,0.02701726883339711,0.01663313295397035,0.0092145705010307,0.0017682347277597423
CO,169.3032291930507,9.76560720445135,144.0,195.0,0.001178463578110039,0.0027497483489234242,0.018315288109793524,0.03189217058260293,0.05145957624413837,0.0652083179887555,0.08028283125874641,0.08639611107019224,0.08705899683287914,0.09901549188578723,0.0868380349119835,0.08259065576587857,0.07849058456703739,0.06155017063170558,0.05585426333750706,0.04468341067000565,0.0327514669416415,0.020279394073310256,0.011588225184748717,0.001816798016252977
CT,169.35084186703995,9.751287593642912,144.0,194.0,0.0006624594679404483,0.0020222446916076846,0.016177957532861477,0.032599979080227326,0.048115477145148355,0.061364666503957326,0.07750775774903246,0.0854224050765315,0.08353962553606918,0.09644015201701475,0.0880722429482933,0.07830968236811826,0.08172657857117953,0.06286391687876992,0.05592552560928838,0.05055611729019211,0.0377950559603919,0.021407900700812384,0.015271434050416652,0.004218820822147066
DE,169.43944060266102,9.779426894968465,147.0,194.0,0.002274665908444697,0.01435882854705715,0.03340915553028149,0.04378731873756042,0.059425646858117714,0.07321580892806369,0.07705430764856412,0.0797554734148422,0.0882854705715098,0.08089280636906454,0.07876030707989765,0.07563264145578619,0.06823997725334091,0.05928348023883992,0.052317315894228035,0.038669320443559856,0.03397782200739267,0.022035825988058005,0.01393232868922377,0.004691498436167188
DC,169.52841861348796,9.707510598733823,144.0,195.0,0.0007671653241273494,0.0017261219792865361,0.012082853855005753,0.03855005753739931,0.04660529344073648,0.0646336785577292,0.07460682777138473,0.08457997698504027,0.09800537015726889,0.09838895281933256,0.08457997698504027,0.08074415036440354,0.08093594169543536,0.05868814729574223,0.06194859992328347,0.04526275412351362,0.03145377828922133,0.022247794399693134,0.011507479861910242,0.002685078634445723
FL,168.5923755172797,9.797051763722772,144.0,195.0,0.0025894646906115476,0.0037264631461338764,0.023140876080312837,0.03858565278827512,0.05331405474680424,0.0696920903026519,0.08365811179389439,0.08779205415530215,0.0915579507738819,0.09584305477966547,0.08715454635076074,0.07992507640235286,0.07434524005126351,0.05711938483782984,0.05314317636620551,0.04135914035030068,0.028392100161020013,0.01726528868587953,0.009753212184942985,0.0016430613519108803
