,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
AL,121.32265081600526,68.0160746242496,12.0,399.0,0.01729830018280538,0.057733758969741616,0.14479823197184252,0.16403372350004092,0.14572590106681946,0.11653160896019209,0.0890562331177867,0.06968431966385638,0.051021800223731956,0.03841641428610406,0.02515620310496303,0.018198684892635944,0.012932798559384465,0.008485443780524406,0.008921993942866498,0.008349021854792502,0.007312215219230035,0.007284930834083654,0.006493683664838613,0.0025647322037597882
AK,120.93628329607931,70.08988588525347,12.0,395.0,0.017648151588333643,0.057588705182983466,0.1488017833921605,0.16329184469626604,0.1489875534088798,0.11740665056659855,0.08211034738993127,0.06743451606910644,0.04644250417982538,0.03956901356121122,0.024335872190228498,0.018205461638491547,0.0124465911201932,0.008173880735649267,0.010031580902842282,0.006873490618614156,0.007988110718929966,0.009288500835965075,0.00854542076908787,0.004830020434701839
AZ,120.8189909121045,68.36375166319651,12.0,400.0,0.01843764241227404,0.05780039495670667,0.14939996961871488,0.16578687528482455,0.14672261886677807,0.11459440984353639,0.08763101929211606,0.0676173477138083,0.05085067598359411,0.03867917362904451,0.024001215251405136,0.016690718517393285,0.011487923439161477,0.009342245176970985,0.008392830016709707,0.007899134133373842,0.008032052255810421,0.006664894425034179,0.00670287103144463,0.0032659881512988
AR,121.69894286204546,68.36223768440357,12.0,398.0,0.016917293233082706,0.058046902971715005,0.14536340852130325,0.16232545649838884,0.14540816326530612,0.11170784103114931,0.09107590404582885,0.0699516648764769,0.05231829573934837,0.0397422126745435,0.02591299677765843,0.017812388113139992,0.01248657357679914,0.009756534192624419,0.00895094880057286,0.007921589688506982,0.00801109917651271,0.00613139992839241,0.006265664160401002,0.0038936627282491944
CA,120.34677614414527,68.4896437400055,12.0,400.0,0.019432066458469628,0.05978670089985558,0.15086467603964795,0.16500746793724463,0.14679125572438992,0.1129633515608606,0.08691506301457791,0.06775455791045881,0.050201819461074146,0.03775628602816832,0.02429239751644798,0.016457235258538754,0.011581474578154123,0.009020157258711565,0.008813400318467406,0.007915396294421883,0.007474109093602261,0.0072951254736894075,0.006610050238850555,0.003067408934368558
CO,121.04663618425285,68.61445600701312,12.0,399.0,0.019100930495200216,0.05686086764380938,0.14696422872013945,0.16879035623971914,0.14492646878299084,0.1101617932287447,0.0882865630600771,0.06987306965210772,0.05177874346320984,0.0386437848321917,0.025214210306646043,0.016768554663524098,0.011367263263853084,0.009845081142127617,0.008077385774962559,0.008224693722226313,0.007660013257715254,0.007463602661363581,0.006628857626868969,0.003363531462522403
CT,120.89852748581009,67.97704924976267,12.0,400.0,0.018688330253477912,0.05669258394058785,0.1450088909033855,0.16666085561870228,0.15027370035912277,0.1135594993201074,0.09086154597120044,0.06830305777343887,0.049126599490952196,0.03720232906802413,0.025382657508455076,0.017293678742024338,0.011680206408423694,0.00910010111223458,0.007565984449635648,0.008193577629789756,0.008402775356507793,0.007147588996199575,0.006345664377113769,0.002510372720616436
DE,122.25394404701305,68.23042589405559,12.0,398.0,0.017344327551890817,0.057577480807506395,0.1367642877452374,0.1575206141597953,0.15666761444412852,0.11799829400056866,0.0882854705715098,0.06497014500995166,0.05061131646289451,0.04264998578333807,0.026727324424225193,0.0177708274097242,0.013079328973557009,0.01151549616150128,0.007392664202445266,0.009525163491612169,0.0072504975831674725,0.008103497298834235,0.005828831390389536,0.002416832527722491
DC,119.97067476129672,69.66046776203414,12.0,399.0,0.01802838511699271,0.06252397391637898,0.16148830072880707,0.15976217874952053,0.14998082086689682,0.1062523973916379,0.08285385500575373,0.06520905255082471,0.0523590333716916,0.03682393555811277,0.024932873034138856,0.016877637130801686,0.010740314537782892,0.007863444572305332,0.009781357882623706,0.008822401227464518,0.0055619485999232835,0.008822401227464518,0.007479861910241657,0.0038358266206367474
FL,122.12536670290663,68.4188430616879,12.0,400.0,0.01659491965429989,0.05596924189149223,0.1423548355295587,0.16702704478985245,0.14663336728993462,0.1147382603266406,0.09110446584075449,0.07001413032762643,0.050251388386842365,0.03858565278827512,0.02549373993624922,0.01785679077256745,0.01188919194242713,0.00951661135026782,0.009082843153363346,0.008373040649337846,0.007926127961618087,0.007610660182051198,0.006171338437777267,0.0028063487890637837
