,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
AL,82.43365729705594,19.197334747273498,48.0,164.0,0.03885296444844615,0.06845652233226925,0.09213936863932772,0.11827780960956046,0.11953289132629397,0.11936918501541567,0.10272571007612344,0.08913808627322584,0.07118496084690731,0.056642383563886387,0.04188153119969441,0.027911926004747484,0.02223677389430029,0.016015934080925488,0.009986084963575345,0.0014187880276117979,0.0012823661018798941,0.0011186597910016098,0.0013642192573190364,0.00046383454748847235
AK,81.78210152416197,19.13297966661785,47.0,155.0,0.025078952257105703,0.06817759613598365,0.0735649266208434,0.1123908601151774,0.11833550065019506,0.10477428942968604,0.10235927921233513,0.09232769830949285,0.07579416682147501,0.06037525543377299,0.04699981422998328,0.033810143042912875,0.026565112390860113,0.02600780234070221,0.019320081738807355,0.012632361136912502,0.000743080066877206,0.0001857700167193015,0.0001857700167193015,0.000371540033438603
AZ,80.78596274809398,18.42108602674577,46.0,164.0,0.020640285584080206,0.0758582713048762,0.0907071244113626,0.12332902931794015,0.12249354397691023,0.12735454959744796,0.10923970833966276,0.09154260975239252,0.07188971593498406,0.055104055901564634,0.039001974783533344,0.026070940300774722,0.021988455111651223,0.015741303357132006,0.007595321282090233,0.0004936958833358651,0.0002848245480783837,0.0002088713352574814,0.00032280115448883487,0.00013291812243657907
AR,81.82849533150294,18.872273291524543,48.0,162.0,0.042248478338703904,0.06628177586824203,0.09161296097386323,0.11322950232724668,0.12209094163981382,0.12267275331185105,0.10521840315073398,0.08534729681346223,0.07084675975653419,0.05719656283566058,0.03889187253848908,0.02788220551378446,0.023048693161475117,0.01821518080916577,0.010562119584675976,0.0018796992481203006,0.0007160759040458289,0.0008503401360544217,0.0008055853920515575,0.00040279269602577875
CA,80.62990778217296,18.281109169947374,46.0,164.0,0.019762260377964032,0.0736178144248454,0.09355905842272227,0.12402947675064496,0.12740547813313913,0.1259797810227988,0.11111796872106945,0.09019848666263439,0.07013380568550727,0.05472269882611433,0.03904003061237085,0.02568723538197573,0.020863935417772456,0.014830953056916792,0.0073691876612395546,0.0005986693493636823,0.0003517953908631948,0.00029933467468184116,0.00025304580746299976,0.0001789836199128535
CO,81.09225615108197,18.51738110361084,48.0,164.0,0.04505168053816504,0.0718126242910805,0.10048857135842479,0.12182367238712528,0.11998232304632835,0.12202008298347695,0.10461319388180992,0.0852176474920822,0.06871915739854165,0.051115857700522946,0.03884019542854337,0.025410620902997717,0.021261447055068623,0.014804448700007366,0.007414500012275662,0.0003682698681593872,0.0003191672190714689,0.00024551324543959144,0.00034371854361542803,0.00014730794726375488
CT,81.74836898431549,18.742133942586783,47.0,164.0,0.030682333251978663,0.07353300094138977,0.08584080052996758,0.11819671559569053,0.1187894424880583,0.12677382239113003,0.10812035842543845,0.08953662703531955,0.0727659426100903,0.05526306614134793,0.04232767337261602,0.02855548969701196,0.023116348802343013,0.015585230640493707,0.00850737421986681,0.0006624594679404483,0.00045326174122241206,0.0005578606045814302,0.00038352916564973326,0.00034866287786339387
DE,82.15853283868152,19.05919956572418,48.0,164.0,0.03639465453511515,0.06823997725334091,0.09994313335228888,0.11529712823429059,0.12709695763434745,0.11686096104634631,0.10463463178845607,0.08586863804378732,0.07193630935456355,0.05686664771111743,0.0376741541086153,0.026727324424225193,0.021324992891669035,0.017344327551890817,0.00796133067955644,0.000995166334944555,0.0015638328120557293,0.0014216661927779358,0.0011373329542223485,0.0007108330963889679
DC,83.14971563809335,19.839271409625322,48.0,164.0,0.03375527426160337,0.06444188722669736,0.09436133486766399,0.11507479861910241,0.1237054085155351,0.11929420790180284,0.10241657077100115,0.08822401227464519,0.07115458381281166,0.054276946682009976,0.039892596854622174,0.028576908323743766,0.02608362102032988,0.01726121979286536,0.010740314537782892,0.002493287303413886,0.002109704641350211,0.002109704641350211,0.002685078634445723,0.0013425393172228615
FL,81.23574970146835,18.57231989310325,46.0,164.0,0.018237981006210772,0.07228812723867109,0.08676678387170977,0.12296671157701028,0.1262331175446091,0.12658801879662188,0.11261542505997174,0.09072984785251881,0.07203838191318064,0.05519371693339029,0.04085307745391213,0.02703821760704545,0.021681837599815977,0.014794124412605567,0.008110150833032105,0.0010909927376688245,0.0007492359764713615,0.000768952712694292,0.0008675363938089448,0.0003877624790509678
