,Avg,Std,Min,Max,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20
AL,0.5778088910974101,0.09155725218974065,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008731003246841832,0.05740634634798505,0.16455212681782216,0.19996725873782434,0.20335052249597554,0.15966822187662,0.10458104826607732,0.06155357289023492,0.03448746282502524,0.011514010531772666,0.001991760115685793,5.456877029276145e-05,0.0
AK,0.571174370455584,0.08895668296933447,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013003901170351106,0.06334757570128181,0.1716514954486346,0.21270666914360023,0.2067620286085826,0.15660412409437116,0.09381385844324726,0.05796024521642207,0.02712242244101802,0.007059260635333457,0.0016719301504737136,0.0,0.0
AZ,0.5784732388513855,0.0879617458399642,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047470758013063954,0.04957845966884399,0.1547736594257937,0.2099916451465897,0.20896627677350751,0.16774267051496278,0.10623955643323713,0.06150311408172566,0.02969770621297281,0.009892905969922528,0.0011203098891083092,1.898830320522558e-05,0.0
AR,0.5766160297745491,0.08957076763223952,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008055853920515575,0.058046902971715005,0.16201217329036877,0.20421589688506983,0.20255997135696382,0.16554779806659506,0.10329394915861081,0.06068743286788399,0.03253669889008235,0.008906194056569996,0.0013873970640887934,0.0,0.0
CA,0.5785900951582037,0.0877172501535448,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007251922530951822,0.04791823534494464,0.153805562070285,0.20968239665238914,0.21253379087306976,0.1685161640724328,0.10671126856183576,0.059030649401947834,0.030016787429178033,0.009751521360769259,0.001271400886277511,3.7031093775073134e-05,0.0
CO,0.5756819993873468,0.0883381530545139,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017185927180771401,0.053718298102182614,0.1640028479536471,0.211534212270752,0.20502811126660284,0.1639291939800152,0.1028209471901009,0.05934055142274926,0.028946011637327834,0.009452259949424271,0.0010557069553902433,0.0,0.0
CT,0.5788247122807321,0.08903721315307482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041839545343607266,0.05020745441232872,0.1568634287507409,0.20717548202642866,0.20965098845925875,0.16254663365991423,0.10634217774833514,0.06363097521006938,0.031205327568773752,0.010982880652696907,0.0009762560580175029,0.0,0.0
DE,0.5766821809387781,0.0903966237863563,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007108330963889679,0.05857264714245095,0.1656241114586295,0.19960193346602217,0.19960193346602217,0.1681831106056298,0.101933466022178,0.0641171452942849,0.03028148990617003,0.010093829968723343,0.0012794995735001423,0.0,0.0
DC,0.5736716474547594,0.09439939696682594,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015343306482546988,0.07499041043344841,0.1658995013425393,0.21614883007288072,0.17702339854238588,0.15592635212888378,0.09781357882623705,0.05983889528193326,0.03413885692366705,0.01380897583429229,0.0023014959723820483,0.0005753739930955121,0.0
FL,0.5826619801930891,0.08868434799605926,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005980743320955604,0.04657750320396964,0.14355755643915744,0.20287207124314022,0.21273701160001315,0.17288948769347048,0.11151128783148763,0.06341559593835233,0.03343301238868259,0.01086392165883474,0.001498471952942723,4.600571785350465e-05,0.0
