State,LDL,,,State,Tri,,,State,Sys,,,State,Dia,,,State,HDL,,,State,HR,,,State,State Population,National Population,Fraction of National Population
,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,Prediction,Adjusted Prediction Fraction,,,,,
AL,73.0040927694,1.0980719051,,AL,72.687585266,1.0933112406,,AL,73.102319236,1.0995493527,,AL,68.1909959072,1.0256769716,,AL,73.8772169168,1.1112047729,,AL,71.9181446112,1.0817379008,,AL,4849377,322405452,0.0150412376
AK,66.5923448532,0.1521708465,,AK,70.3084355258,0.1606625232,,AK,70.9773318469,0.162191025,,AK,64.8086213304,0.1480948417,,AK,66.480862133,0.1519160962,,AK,69.5652173913,0.1589641878,,AK,736732,322405452,0.0022851102
AZ,72.239100714,1.5082758278,,AZ,72.7973568282,1.5199316235,,AZ,73.3783989063,1.532063166,,AZ,68.0464833662,1.420738423,,AZ,74.2100865867,1.549427923,,AZ,72.1441591979,1.5062935496,,AZ,6731484,322405452,0.0208789397
AR,73.3619763695,0.6749845292,,AR,72.6817042607,0.6687255218,,AR,72.8607232367,0.670372629,,AR,68.045112782,0.6260654454,,AR,73.0755460079,0.6723491576,,AR,71.5628356606,0.6584311018,,AR,2966369,322405452,0.0092007408
CA,74.2707960451,8.9387215536,,CA,74.8892153111,9.0131502378,,CA,75.8569612284,9.1296214721,,CA,70.2510708158,8.4549351064,,CA,76.0057027884,9.1475229819,,CA,74.7392393813,8.9951001676,,CA,38802500,322405452,0.1203531136
CO,71.7800147312,1.1924244416,,CO,73.2678615271,1.2171408602,,CO,73.4544561748,1.220240609,,CO,68.3329241345,1.1351606601,,CO,74.4414436533,1.236636649,,CO,72.1630247974,1.198787084,,CO,5355866,322405452,0.0166122067
CT,71.3947001395,0.7964619544,,CT,71.5550906555,0.7982512321,,CT,72.719665272,0.811242944,,CT,68.2426778243,0.7612987581,,CT,74.0167364017,0.8257127548,,CT,71.8549511855,0.8015964034,,CT,3596677,322405452,0.0111557574
DE,71.8225760591,0.2084276434,,DE,71.7941427353,0.2083451304,,DE,71.0264429912,0.2061172815,,DE,68.5527438158,0.1989386572,,DE,71.1401762866,0.2064473332,,DE,74.7796417401,0.2170089873,,DE,935614,322405452,0.0029019795
DC,71.7299578059,0.1465929511,,DC,72.6505561949,0.1484743579,,DC,72.113540468,0.1473768706,,DC,66.6666666667,0.1362452133,,DC,71.6532412735,0.1464361671,,DC,70.4257767549,0.1439276247,,DC,658893,322405452,0.0020436782
FL,74.7808141751,4.6141804909,,FL,75.0647370427,4.6316993074,,FL,75.4196406273,4.6535978279,,FL,70.2275326314,4.3332305828,,FL,76.1202465923,4.6968271296,,FL,74.6099346715,4.6036367588,,FL,19893297,322405452,0.0617027314
GA,72.976325298,2.2855289299,,GA,73.6827913498,2.3076545794,,GA,75.4219921264,2.3621242129,,GA,69.6003882867,2.1797987267,,GA,75.262902443,2.3571417193,,GA,74.1465782236,2.322179815,,GA,10097343,322405452,0.0313187725
HI,67.9424093311,0.2991524937,,HI,69.9289229087,0.3078991734,,HI,71.9154364862,0.3166458531,,HI,66.3021687625,0.2919304646,,HI,70.9677419355,0.3124731252,,HI,67.8512848551,0.2987512699,,HI,1419561,322405452,0.0044030304
ID,72.9591836735,0.369873272,,ID,74.9489795918,0.3799607249,,ID,73.843537415,0.3743565844,,ID,69.7448979592,0.3535781558,,ID,73.656462585,0.3734081914,,ID,73.2482993197,0.3713389703,,ID,1634464,322405452,0.0050695917
IL,74.7725620419,2.9872756834,,IL,75.0181753876,2.9970883039,,IL,76.2639262767,3.0468579151,,IL,70.8486432319,2.8305092583,,IL,76.2423123023,3.0459944045,,IL,74.7489831607,2.9863336718,,IL,12880580,322405452,0.0399514956
IN,73.1280758124,1.4963001047,,IN,73.0060601131,1.4938034972,,IN,75.0233863424,1.5350807414,,IN,69.439134502,1.4208193375,,IN,74.148940497,1.5171883876,,IN,74.0106560377,1.5143588991,,IN,6596855,322405452,0.020461363
IA,72.2689804772,0.6964796234,,IA,72.4685466377,0.6984029072,,IA,73.1193058568,0.7046744851,,IA,68.2863340564,0.658097567,,IA,75.1323210412,0.7240745658,,IA,73.0498915401,0.7040055168,,IA,3107126,322405452,0.0096373246
KS,72.8100846522,0.6558264257,,KS,73.4541774015,0.661627999,,KS,73.5829959514,0.6627883137,,KS,67.5653294074,0.6085850428,,KS,74.7423629003,0.6732311457,,KS,72.5432462275,0.6534229167,,KS,2904021,322405452,0.009007357
KY,73.2444713723,1.0026546505,,KY,72.953650409,0.9986735583,,KY,73.474704635,1.0058063485,,KY,68.5610421085,0.9385424787,,KY,73.4262344744,1.0051428331,,KY,72.1478339897,0.9876426155,,KY,4413457,322405452,0.0136891513
LA,71.891607779,1.0368084092,,LA,71.9850493488,1.0381560075,,LA,72.9953863225,1.0527269136,,LA,68.6853939146,0.990568944,,LA,72.8844244583,1.0511266407,,LA,72.3120948432,1.0428726014,,LA,4649676,322405452,0.0144218281
ME,72.0685625243,0.2973200438,,ME,74.542267238,0.3075253534,,ME,74.6786131671,0.3080878508,,ME,70.5298013245,0.2909718591,,ME,75.0097389949,0.3094539159,,ME,72.9255940787,0.3008557416,,ME,1330089,322405452,0.0041255165
MD,72.5146456415,1.344198845,,MD,72.7128573316,1.347873081,,MD,73.8140333877,1.3682855035,,MD,67.885301502,1.2583850209,,MD,74.0783156411,1.3731844849,,MD,72.6335726556,1.3464033866,,MD,5976407,322405452,0.0185369291
MA,73.5937975068,1.539738822,,MA,73.1491334752,1.5304355044,,MA,74.0878686531,1.5500758416,,MA,68.7861051991,1.4391516701,,MA,74.5325326847,1.5593791592,,MA,72.8108847674,1.5233586218,,MA,6745408,322405452,0.0209221276
MI,74.1093708521,2.2779228614,,MI,74.6456065835,2.2944053065,,MI,74.8048845235,2.2993010822,,MI,69.7663923547,2.1444313759,,MI,76.4640297319,2.3502987463,,MI,74.1332625431,2.2786572278,,MI,9909877,322405452,0.0307373121
MN,73.2658026714,1.240128407,,MN,73.1913203237,1.2388676869,,MN,73.826903024,1.2496258323,,MN,68.7869308307,1.1643171008,,MN,74.8100700134,1.2662673386,,MN,73.2111822831,1.2392038789,,MN,5457173,322405452,0.016926429
MS,70.9237165582,0.6586464629,,MS,71.8908170644,0.6676276241,,MS,72.0263919017,0.6688866654,,MS,66.5310918294,0.6178535254,,MS,71.4479392625,0.6635147559,,MS,70.1102675343,0.6510922152,,MS,2994079,322405452,0.0092866885
MO,73.4948766437,1.3822431406,,MO,73.1738422974,1.3762053385,,MO,73.4201152205,1.3808370771,,MO,68.9080434496,1.2959770088,,MO,73.085887682,1.3745511461,,MO,73.1870354897,1.3764534674,,MO,6063589,322405452,0.0188073401
MT,71.8602207042,0.2281432012,,MT,73.9358906989,0.234733078,,MT,74.3037309511,0.2359009042,,MT,67.9978980557,0.2158810255,,MT,72.7798213347,0.2310627669,,MT,72.4119810825,0.2298949406,,MT,1023579,322405452,0.0031748191
